Community District Number,CD Code,BoroCD,mcg/m³ of PM2.5,Ranking
Bronx Community District 1,BX 01,201,6.8,17
Bronx Community District 2,BX 02,202,7.3,9
Bronx Community District 3,BX 03,203,6.7,26
Bronx Community District 4,BX 04,204,6.7,26
Bronx Community District 5,BX 05,205,6.8,17
Bronx Community District 6,BX 06,206,6.8,17
Bronx Community District 7,BX 07,207,6.6,31
Bronx Community District 8,BX 08,208,6.5,34
Bronx Community District 9,BX 09,209,6.7,26
Bronx Community District 10,BX 10,210,6.5,34
Bronx Community District 11,BX 11,211,6.6,31
Bronx Community District 12,BX 12,212,6.5,34
Brooklyn Community District 1,BK 01,301,7.7,5
Brooklyn Community District 2,BK 02,302,7.1,10
Brooklyn Community District 3,BK 03,303,6.8,17
Brooklyn Community District 4,BK 04,304,6.9,15
Brooklyn Community District 5,BK 05,305,6.5,34
Brooklyn Community District 6,BK 06,306,7.1,10
Brooklyn Community District 7,BK 07,307,7,12
Brooklyn Community District 8,BK 08,308,6.7,26
Brooklyn Community District 9,BK 09,309,6.5,34
Brooklyn Community District 10,BK 10,310,6.5,34
Brooklyn Community District 11,BK 11,311,6.4,45
Brooklyn Community District 12,BK 12,312,6.5,34
Brooklyn Community District 13,BK 13,313,6.3,48
Brooklyn Community District 14,BK 14,314,6.4,45
Brooklyn Community District 15,BK 15,315,6.3,48
Brooklyn Community District 16,BK 16,316,6.5,34
Brooklyn Community District 17,BK 17,317,6.5,34
Brooklyn Community District 18,BK 18,318,6.2,55
Manhattan Community District 1,MN 01,101,7.7,5
Manhattan Community District 2,MN 02,102,8.5,2
Manhattan Community District 3,MN 03,103,7.6,7
Manhattan Community District 4,MN 04,104,8.1,3
Manhattan Community District 5,MN 05,105,8.9,1
Manhattan Community District 6,MN 06,106,7.9,4
Manhattan Community District 7,MN 07,107,6.8,17
Manhattan Community District 8,MN 08,108,7,12
Manhattan Community District 9,MN 09,109,6.8,17
Manhattan Community District 10,MN 10,110,6.8,17
Manhattan Community District 11,MN 11,111,6.8,17
Manhattan Community District 12,MN 12,112,6.9,15
Queens Community District 1,QN 01,401,6.8,17
Queens Community District 2,QN 02,402,7.6,7
Queens Community District 3,QN 03,403,6.6,31
Queens Community District 4,QN 04,404,6.7,26
Queens Community District 5,QN 05,405,7,12
Queens Community District 6,QN 06,406,6.4,45
Queens Community District 7,QN 07,407,6.5,34
Queens Community District 8,QN 08,408,6.3,48
Queens Community District 9,QN 09,409,6.5,34
Queens Community District 10,QN 10,410,6.2,55
Queens Community District 11,QN 11,411,6.3,48
Queens Community District 12,QN 12,412,6.3,48
Queens Community District 13,QN 13,413,6.3,48
Queens Community District 14,QN 14,414,5.9,59
Staten Island Community District 1,SI 01,501,6.3,48
Staten Island Community District 2,SI 02,502,6.2,55
Staten Island Community District 3,SI 03,503,6,58
