Community District Number,CD Code,BoroCD,Number of Complaints after Law Enforcement,Ranking
Bronx Community District 1,BX 01,201,26,57
Bronx Community District 2,BX 02,202,30,56
Bronx Community District 3,BX 03,203,33,55
Bronx Community District 4,BX 04,204,49,49
Bronx Community District 5,BX 05,205,37,51
Bronx Community District 6,BX 06,206,21,58
Bronx Community District 7,BX 07,207,179,9
Bronx Community District 8,BX 08,208,60,43
Bronx Community District 9,BX 09,209,109,22
Bronx Community District 10,BX 10,210,58,44
Bronx Community District 11,BX 11,211,58,44
Bronx Community District 12,BX 12,212,53,47
Brooklyn Community District 1,BK 01,301,318,4
Brooklyn Community District 2,BK 02,302,159,15
Brooklyn Community District 3,BK 03,303,111,20
Brooklyn Community District 4,BK 04,304,61,40
Brooklyn Community District 5,BK 05,305,92,28
Brooklyn Community District 6,BK 06,306,174,11
Brooklyn Community District 7,BK 07,307,180,8
Brooklyn Community District 8,BK 08,308,107,23
Brooklyn Community District 9,BK 09,309,51,48
Brooklyn Community District 10,BK 10,310,82,32
Brooklyn Community District 11,BK 11,311,61,40
Brooklyn Community District 12,BK 12,312,83,30
Brooklyn Community District 13,BK 13,313,36,52
Brooklyn Community District 14,BK 14,314,74,34
Brooklyn Community District 15,BK 15,315,66,37
Brooklyn Community District 16,BK 16,316,16,59
Brooklyn Community District 17,BK 17,317,61,40
Brooklyn Community District 18,BK 18,318,105,25
Manhattan Community District 1,MN 01,101,62,39
Manhattan Community District 2,MN 02,102,184,7
Manhattan Community District 3,MN 03,103,169,12
Manhattan Community District 4,MN 04,104,194,6
Manhattan Community District 5,MN 05,105,5189,1
Manhattan Community District 6,MN 06,106,147,17
Manhattan Community District 7,MN 07,107,358,3
Manhattan Community District 8,MN 08,108,241,5
Manhattan Community District 9,MN 09,109,68,36
Manhattan Community District 10,MN 10,110,95,26
Manhattan Community District 11,MN 11,111,64,38
Manhattan Community District 12,MN 12,112,178,10
Queens Community District 1,QN 01,401,163,14
Queens Community District 2,QN 02,402,153,16
Queens Community District 3,QN 03,403,107,23
Queens Community District 4,QN 04,404,34,53
Queens Community District 5,QN 05,405,145,18
Queens Community District 6,QN 06,406,145,18
Queens Community District 7,QN 07,407,111,20
Queens Community District 8,QN 08,408,1176,2
Queens Community District 9,QN 09,409,83,30
Queens Community District 10,QN 10,410,71,35
Queens Community District 11,QN 11,411,56,46
Queens Community District 12,QN 12,412,95,26
Queens Community District 13,QN 13,413,90,29
Queens Community District 14,QN 14,414,47,50
Staten Island Community District 1,SI 01,501,169,12
Staten Island Community District 2,SI 02,502,75,33
Staten Island Community District 3,SI 03,503,34,53
