Community District Number,CD Code,BoroCD,Mean ppb,Ranking
Bronx Community District 1,BX 01,201,18.7,13
Bronx Community District 2,BX 02,202,19.3,9
Bronx Community District 3,BX 03,203,17.3,27
Bronx Community District 4,BX 04,204,18.1,17
Bronx Community District 5,BX 05,205,18.1,17
Bronx Community District 6,BX 06,206,17.4,26
Bronx Community District 7,BX 07,207,16.9,30
Bronx Community District 8,BX 08,208,14.7,50
Bronx Community District 9,BX 09,209,16.6,35
Bronx Community District 10,BX 10,210,15.4,46
Bronx Community District 11,BX 11,211,16.3,39
Bronx Community District 12,BX 12,212,15.6,45
Brooklyn Community District 1,BK 01,301,20.7,6
Brooklyn Community District 2,BK 02,302,18.8,12
Brooklyn Community District 3,BK 03,303,17.9,21
Brooklyn Community District 4,BK 04,304,17.5,22
Brooklyn Community District 5,BK 05,305,15.9,41
Brooklyn Community District 6,BK 06,306,18.6,14
Brooklyn Community District 7,BK 07,307,18.1,17
Brooklyn Community District 8,BK 08,308,17.5,22
Brooklyn Community District 9,BK 09,309,17,29
Brooklyn Community District 10,BK 10,310,16.4,37
Brooklyn Community District 11,BK 11,311,16.4,37
Brooklyn Community District 12,BK 12,312,16.9,30
Brooklyn Community District 13,BK 13,313,14.1,56
Brooklyn Community District 14,BK 14,314,16.2,40
Brooklyn Community District 15,BK 15,315,14.9,49
Brooklyn Community District 16,BK 16,316,16.7,34
Brooklyn Community District 17,BK 17,317,16.5,36
Brooklyn Community District 18,BK 18,318,14.3,54
Manhattan Community District 1,MN 01,101,21.6,4
Manhattan Community District 2,MN 02,102,21.2,5
Manhattan Community District 3,MN 03,103,19.3,9
Manhattan Community District 4,MN 04,104,22.3,2
Manhattan Community District 5,MN 05,105,25.2,1
Manhattan Community District 6,MN 06,106,22.1,3
Manhattan Community District 7,MN 07,107,19.2,11
Manhattan Community District 8,MN 08,108,20.4,7
Manhattan Community District 9,MN 09,109,18,20
Manhattan Community District 10,MN 10,110,18.3,15
Manhattan Community District 11,MN 11,111,18.3,15
Manhattan Community District 12,MN 12,112,16.9,30
Queens Community District 1,QN 01,401,17.3,27
Queens Community District 2,QN 02,402,20.2,8
Queens Community District 3,QN 03,403,16.9,30
Queens Community District 4,QN 04,404,17.5,22
Queens Community District 5,QN 05,405,17.5,22
Queens Community District 6,QN 06,406,15.8,42
Queens Community District 7,QN 07,407,15.7,44
Queens Community District 8,QN 08,408,14.7,50
Queens Community District 9,QN 09,409,15.8,42
Queens Community District 10,QN 10,410,14.6,52
Queens Community District 11,QN 11,411,14.2,55
Queens Community District 12,QN 12,412,15.1,48
Queens Community District 13,QN 13,413,14.6,52
Queens Community District 14,QN 14,414,11.3,58
Staten Island Community District 1,SI 01,501,15.3,47
Staten Island Community District 2,SI 02,502,13,57
Staten Island Community District 3,SI 03,503,11.1,59
