Community District Number,CD Code,BoroCD,Shares of Respodonts with Positive Rate,Ranking
Bronx Community District 1,BX 01,201,23.3,58
Bronx Community District 2,BX 02,202,23.8,56
Bronx Community District 3,BX 03,203,23.9,55
Bronx Community District 4,BX 04,204,30.3,46
Bronx Community District 5,BX 05,205,26.3,54
Bronx Community District 6,BX 06,206,28.4,49
Bronx Community District 7,BX 07,207,40.7,12
Bronx Community District 8,BX 08,208,46.7,4
Bronx Community District 9,BX 09,209,32.2,41
Bronx Community District 10,BX 10,210,40.5,13
Bronx Community District 11,BX 11,211,34.8,29
Bronx Community District 12,BX 12,212,35.0,28
Brooklyn Community District 1,BK 01,301,27.9,50
Brooklyn Community District 2,BK 02,302,34.2,33
Brooklyn Community District 3,BK 03,303,27.8,51
Brooklyn Community District 4,BK 04,304,23.5,57
Brooklyn Community District 5,BK 05,305,27.8,51
Brooklyn Community District 6,BK 06,306,46.1,5
Brooklyn Community District 7,BK 07,307,37.6,22
Brooklyn Community District 8,BK 08,308,34.2,33
Brooklyn Community District 9,BK 09,309,22.4,59
Brooklyn Community District 10,BK 10,310,45.4,7
Brooklyn Community District 11,BK 11,311,45.1,8
Brooklyn Community District 12,BK 12,312,37.7,21
Brooklyn Community District 13,BK 13,313,40.2,15
Brooklyn Community District 14,BK 14,314,33.9,35
Brooklyn Community District 15,BK 15,315,39.7,16
Brooklyn Community District 16,BK 16,316,29.3,48
Brooklyn Community District 17,BK 17,317,32.5,40
Brooklyn Community District 18,BK 18,318,34.8,29
Manhattan Community District 1,MN 01,101,37.4,23
Manhattan Community District 2,MN 02,102,40.3,14
Manhattan Community District 3,MN 03,103,30.7,45
Manhattan Community District 4,MN 04,104,37.8,20
Manhattan Community District 5,MN 05,105,27.1,53
Manhattan Community District 6,MN 06,106,30.0,47
Manhattan Community District 7,MN 07,107,51.4,1
Manhattan Community District 8,MN 08,108,33.3,37
Manhattan Community District 9,MN 09,109,34.6,31
Manhattan Community District 10,MN 10,110,32.7,38
Manhattan Community District 11,MN 11,111,30.8,44
Manhattan Community District 12,MN 12,112,32.1,42
Queens Community District 1,QN 01,401,36.5,25
Queens Community District 2,QN 02,402,41.0,11
Queens Community District 3,QN 03,403,35.7,26
Queens Community District 4,QN 04,404,34.6,31
Queens Community District 5,QN 05,405,38.6,18
Queens Community District 6,QN 06,406,39.6,17
Queens Community District 7,QN 07,407,43.7,9
Queens Community District 8,QN 08,408,50.6,3
Queens Community District 9,QN 09,409,45.8,6
Queens Community District 10,QN 10,410,35.3,27
Queens Community District 11,QN 11,411,51.2,2
Queens Community District 12,QN 12,412,31.9,43
Queens Community District 13,QN 13,413,41.7,10
Queens Community District 14,QN 14,414,38.0,19
Staten Island Community District 1,SI 01,501,33.8,36
Staten Island Community District 2,SI 02,502,32.7,38
Staten Island Community District 3,SI 03,503,37.1,24
