Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,245,33
Bronx Community District 2,BX 02,202,144,36
Bronx Community District 3,BX 03,203,61,48
Bronx Community District 4,BX 04,204,299,29
Bronx Community District 5,BX 05,205,334,26
Bronx Community District 6,BX 06,206,144,36
Bronx Community District 7,BX 07,207,412,19
Bronx Community District 8,BX 08,208,109,41
Bronx Community District 9,BX 09,209,60,49
Bronx Community District 10,BX 10,210,49,54
Bronx Community District 11,BX 11,211,33,56
Bronx Community District 12,BX 12,212,55,52
Brooklyn Community District 1,BK 01,301,1136,7
Brooklyn Community District 2,BK 02,302,673,11
Brooklyn Community District 3,BK 03,303,617,15
Brooklyn Community District 4,BK 04,304,426,18
Brooklyn Community District 5,BK 05,305,357,22
Brooklyn Community District 6,BK 06,306,336,25
Brooklyn Community District 7,BK 07,307,860,8
Brooklyn Community District 8,BK 08,308,264,31
Brooklyn Community District 9,BK 09,309,72,46
Brooklyn Community District 10,BK 10,310,275,30
Brooklyn Community District 11,BK 11,311,93,43
Brooklyn Community District 12,BK 12,312,52,53
Brooklyn Community District 13,BK 13,313,346,24
Brooklyn Community District 14,BK 14,314,167,34
Brooklyn Community District 15,BK 15,315,127,39
Brooklyn Community District 16,BK 16,316,94,42
Brooklyn Community District 17,BK 17,317,81,44
Brooklyn Community District 18,BK 18,318,44,55
Manhattan Community District 1,MN 01,101,655,12
Manhattan Community District 2,MN 02,102,5892,1
Manhattan Community District 3,MN 03,103,3515,4
Manhattan Community District 4,MN 04,104,5568,2
Manhattan Community District 5,MN 05,105,5005,3
Manhattan Community District 6,MN 06,106,2279,5
Manhattan Community District 7,MN 07,107,1294,6
Manhattan Community District 8,MN 08,108,743,10
Manhattan Community District 9,MN 09,109,494,16
Manhattan Community District 10,MN 10,110,649,14
Manhattan Community District 11,MN 11,111,475,17
Manhattan Community District 12,MN 12,112,384,20
Queens Community District 1,QN 01,401,774,9
Queens Community District 2,QN 02,402,651,13
Queens Community District 3,QN 03,403,331,27
Queens Community District 4,QN 04,404,303,28
Queens Community District 5,QN 05,405,125,40
Queens Community District 6,QN 06,406,148,35
Queens Community District 7,QN 07,407,262,32
Queens Community District 8,QN 08,408,56,51
Queens Community District 9,QN 09,409,367,21
Queens Community District 10,QN 10,410,59,50
Queens Community District 11,QN 11,411,18,59
Queens Community District 12,QN 12,412,348,23
Queens Community District 13,QN 13,413,135,38
Queens Community District 14,QN 14,414,72,46
Staten Island Community District 1,SI 01,501,81,44
Staten Island Community District 2,SI 02,502,33,56
Staten Island Community District 3,SI 03,503,26,58
