Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,123,39
Bronx Community District 2,BX 02,202,38,59
Bronx Community District 3,BX 03,203,58,55
Bronx Community District 4,BX 04,204,328,17
Bronx Community District 5,BX 05,205,73,51
Bronx Community District 6,BX 06,206,55,57
Bronx Community District 7,BX 07,207,262,23
Bronx Community District 8,BX 08,208,102,44
Bronx Community District 9,BX 09,209,66,53
Bronx Community District 10,BX 10,210,59,54
Bronx Community District 11,BX 11,211,53,58
Bronx Community District 12,BX 12,212,105,42
Brooklyn Community District 1,BK 01,301,649,10
Brooklyn Community District 2,BK 02,302,703,9
Brooklyn Community District 3,BK 03,303,441,12
Brooklyn Community District 4,BK 04,304,188,29
Brooklyn Community District 5,BK 05,305,142,34
Brooklyn Community District 6,BK 06,306,347,16
Brooklyn Community District 7,BK 07,307,269,22
Brooklyn Community District 8,BK 08,308,158,32
Brooklyn Community District 9,BK 09,309,201,28
Brooklyn Community District 10,BK 10,310,244,25
Brooklyn Community District 11,BK 11,311,140,35
Brooklyn Community District 12,BK 12,312,126,38
Brooklyn Community District 13,BK 13,313,115,40
Brooklyn Community District 14,BK 14,314,220,26
Brooklyn Community District 15,BK 15,315,139,36
Brooklyn Community District 16,BK 16,316,95,45
Brooklyn Community District 17,BK 17,317,176,30
Brooklyn Community District 18,BK 18,318,58,55
Manhattan Community District 1,MN 01,101,1340,4
Manhattan Community District 2,MN 02,102,1066,8
Manhattan Community District 3,MN 03,103,1257,5
Manhattan Community District 4,MN 04,104,1727,3
Manhattan Community District 5,MN 05,105,3814,1
Manhattan Community District 6,MN 06,106,1206,6
Manhattan Community District 7,MN 07,107,1931,2
Manhattan Community District 8,MN 08,108,1175,7
Manhattan Community District 9,MN 09,109,294,20
Manhattan Community District 10,MN 10,110,376,14
Manhattan Community District 11,MN 11,111,549,11
Manhattan Community District 12,MN 12,112,316,18
Queens Community District 1,QN 01,401,409,13
Queens Community District 2,QN 02,402,362,15
Queens Community District 3,QN 03,403,165,31
Queens Community District 4,QN 04,404,219,27
Queens Community District 5,QN 05,405,128,37
Queens Community District 6,QN 06,406,253,24
Queens Community District 7,QN 07,407,275,21
Queens Community District 8,QN 08,408,105,42
Queens Community District 9,QN 09,409,149,33
Queens Community District 10,QN 10,410,82,48
Queens Community District 11,QN 11,411,80,49
Queens Community District 12,QN 12,412,296,19
Queens Community District 13,QN 13,413,87,46
Queens Community District 14,QN 14,414,77,50
Staten Island Community District 1,SI 01,501,107,41
Staten Island Community District 2,SI 02,502,83,47
Staten Island Community District 3,SI 03,503,69,52
