Community District Number,CD Code,BoroCD,Shares of Respodonts with Positive Rate,Ranking
Bronx Community District 1,BX 01,201,18.8,37
Bronx Community District 2,BX 02,202,18,41
Bronx Community District 3,BX 03,203,20.8,24
Bronx Community District 4,BX 04,204,19.4,33
Bronx Community District 5,BX 05,205,21.1,22
Bronx Community District 6,BX 06,206,21.5,21
Bronx Community District 7,BX 07,207,19.5,32
Bronx Community District 8,BX 08,208,20,27
Bronx Community District 9,BX 09,209,20,27
Bronx Community District 10,BX 10,210,29.5,5
Bronx Community District 11,BX 11,211,18.6,38
Bronx Community District 12,BX 12,212,16.4,47
Brooklyn Community District 1,BK 01,301,23,16
Brooklyn Community District 2,BK 02,302,13.7,52
Brooklyn Community District 3,BK 03,303,18.3,40
Brooklyn Community District 4,BK 04,304,11.4,55
Brooklyn Community District 5,BK 05,305,18.9,36
Brooklyn Community District 6,BK 06,306,7.1,59
Brooklyn Community District 7,BK 07,307,19.3,34
Brooklyn Community District 8,BK 08,308,8.9,57
Brooklyn Community District 9,BK 09,309,9.9,56
Brooklyn Community District 10,BK 10,310,19,35
Brooklyn Community District 11,BK 11,311,30,4
Brooklyn Community District 12,BK 12,312,17.6,42
Brooklyn Community District 13,BK 13,313,28.8,8
Brooklyn Community District 14,BK 14,314,23.6,14
Brooklyn Community District 15,BK 15,315,16.7,45
Brooklyn Community District 16,BK 16,316,22.8,18
Brooklyn Community District 17,BK 17,317,8.1,58
Brooklyn Community District 18,BK 18,318,19.7,31
Manhattan Community District 1,MN 01,101,20,27
Manhattan Community District 2,MN 02,102,16.7,45
Manhattan Community District 3,MN 03,103,20,27
Manhattan Community District 4,MN 04,104,26.7,10
Manhattan Community District 5,MN 05,105,35.9,1
Manhattan Community District 6,MN 06,106,20.8,24
Manhattan Community District 7,MN 07,107,29.4,6
Manhattan Community District 8,MN 08,108,15.6,49
Manhattan Community District 9,MN 09,109,12.4,54
Manhattan Community District 10,MN 10,110,25.8,11
Manhattan Community District 11,MN 11,111,20.9,23
Manhattan Community District 12,MN 12,112,18.6,38
Queens Community District 1,QN 01,401,28.8,8
Queens Community District 2,QN 02,402,23.3,15
Queens Community District 3,QN 03,403,29,7
Queens Community District 4,QN 04,404,22.8,18
Queens Community District 5,QN 05,405,12.5,53
Queens Community District 6,QN 06,406,23,16
Queens Community District 7,QN 07,407,31.3,2
Queens Community District 8,QN 08,408,25.6,12
Queens Community District 9,QN 09,409,20.3,26
Queens Community District 10,QN 10,410,14.3,51
Queens Community District 11,QN 11,411,30.4,3
Queens Community District 12,QN 12,412,14.9,50
Queens Community District 13,QN 13,413,21.8,20
Queens Community District 14,QN 14,414,15.8,48
Staten Island Community District 1,SI 01,501,17.6,42
Staten Island Community District 2,SI 02,502,25,13
Staten Island Community District 3,SI 03,503,17.5,44
