Community District Number,CD Code,BoroCD,Shares of Respodonts with Positive Rate,Ranking
Bronx Community District 1,BX 01,201,5.1,55
Bronx Community District 2,BX 02,202,8.6,34
Bronx Community District 3,BX 03,203,10.1,23
Bronx Community District 4,BX 04,204,11.5,21
Bronx Community District 5,BX 05,205,14.6,11
Bronx Community District 6,BX 06,206,19.7,3
Bronx Community District 7,BX 07,207,8.1,40
Bronx Community District 8,BX 08,208,11.3,22
Bronx Community District 9,BX 09,209,7.8,41
Bronx Community District 10,BX 10,210,12.5,18
Bronx Community District 11,BX 11,211,6.9,47
Bronx Community District 12,BX 12,212,21.4,2
Brooklyn Community District 1,BK 01,301,9.7,27
Brooklyn Community District 2,BK 02,302,9,31
Brooklyn Community District 3,BK 03,303,6.5,50
Brooklyn Community District 4,BK 04,304,8.2,37
Brooklyn Community District 5,BK 05,305,12.6,17
Brooklyn Community District 6,BK 06,306,5.3,53
Brooklyn Community District 7,BK 07,307,7.5,43
Brooklyn Community District 8,BK 08,308,6.8,48
Brooklyn Community District 9,BK 09,309,7.1,46
Brooklyn Community District 10,BK 10,310,19.1,5
Brooklyn Community District 11,BK 11,311,10,25
Brooklyn Community District 12,BK 12,312,13,15
Brooklyn Community District 13,BK 13,313,14.5,12
Brooklyn Community District 14,BK 14,314,5.3,53
Brooklyn Community District 15,BK 15,315,8.2,37
Brooklyn Community District 16,BK 16,316,9.3,28
Brooklyn Community District 17,BK 17,317,4.8,56
Brooklyn Community District 18,BK 18,318,6.5,50
Manhattan Community District 1,MN 01,101,9.9,26
Manhattan Community District 2,MN 02,102,5.6,52
Manhattan Community District 3,MN 03,103,2.5,59
Manhattan Community District 4,MN 04,104,12.1,20
Manhattan Community District 5,MN 05,105,6.8,48
Manhattan Community District 6,MN 06,106,3.5,58
Manhattan Community District 7,MN 07,107,8.7,32
Manhattan Community District 8,MN 08,108,7.4,45
Manhattan Community District 9,MN 09,109,9.2,29
Manhattan Community District 10,MN 10,110,7.8,41
Manhattan Community District 11,MN 11,111,13.3,14
Manhattan Community District 12,MN 12,112,12.3,19
Queens Community District 1,QN 01,401,8.7,32
Queens Community District 2,QN 02,402,7.5,43
Queens Community District 3,QN 03,403,12.9,16
Queens Community District 4,QN 04,404,17.4,7
Queens Community District 5,QN 05,405,19.2,4
Queens Community District 6,QN 06,406,9.2,29
Queens Community District 7,QN 07,407,22.6,1
Queens Community District 8,QN 08,408,16.1,10
Queens Community District 9,QN 09,409,8.3,36
Queens Community District 10,QN 10,410,16.4,9
Queens Community District 11,QN 11,411,14.5,12
Queens Community District 12,QN 12,412,8.6,34
Queens Community District 13,QN 13,413,8.2,37
Queens Community District 14,QN 14,414,10.1,23
Staten Island Community District 1,SI 01,501,4.8,56
Staten Island Community District 2,SI 02,502,16.9,8
Staten Island Community District 3,SI 03,503,17.9,6
