Community District Number,CD Code,BoroCD,Number of Complaints after Law Enforcement,Ranking
Bronx Community District 1,BX 01,201,320,49
Bronx Community District 2,BX 02,202,82,59
Bronx Community District 3,BX 03,203,216,57
Bronx Community District 4,BX 04,204,282,55
Bronx Community District 5,BX 05,205,181,58
Bronx Community District 6,BX 06,206,251,56
Bronx Community District 7,BX 07,207,569,32
Bronx Community District 8,BX 08,208,807,22
Bronx Community District 9,BX 09,209,399,43
Bronx Community District 10,BX 10,210,288,54
Bronx Community District 11,BX 11,211,311,51
Bronx Community District 12,BX 12,212,362,46
Brooklyn Community District 1,BK 01,301,1794,6
Brooklyn Community District 2,BK 02,302,1817,5
Brooklyn Community District 3,BK 03,303,859,18
Brooklyn Community District 4,BK 04,304,741,23
Brooklyn Community District 5,BK 05,305,357,47
Brooklyn Community District 6,BK 06,306,1149,14
Brooklyn Community District 7,BK 07,307,606,29
Brooklyn Community District 8,BK 08,308,844,19
Brooklyn Community District 9,BK 09,309,527,34
Brooklyn Community District 10,BK 10,310,642,26
Brooklyn Community District 11,BK 11,311,642,26
Brooklyn Community District 12,BK 12,312,488,36
Brooklyn Community District 13,BK 13,313,312,50
Brooklyn Community District 14,BK 14,314,481,37
Brooklyn Community District 15,BK 15,315,601,30
Brooklyn Community District 16,BK 16,316,1558,9
Brooklyn Community District 17,BK 17,317,386,44
Brooklyn Community District 18,BK 18,318,371,45
Manhattan Community District 1,MN 01,101,1378,12
Manhattan Community District 2,MN 02,102,1527,10
Manhattan Community District 3,MN 03,103,1590,8
Manhattan Community District 4,MN 04,104,1884,4
Manhattan Community District 5,MN 05,105,1527,10
Manhattan Community District 6,MN 06,106,1691,7
Manhattan Community District 7,MN 07,107,2665,3
Manhattan Community District 8,MN 08,108,2693,2
Manhattan Community District 9,MN 09,109,727,24
Manhattan Community District 10,MN 10,110,814,21
Manhattan Community District 11,MN 11,111,569,32
Manhattan Community District 12,MN 12,112,990,15
Queens Community District 1,QN 01,401,1244,13
Queens Community District 2,QN 02,402,961,16
Queens Community District 3,QN 03,403,494,35
Queens Community District 4,QN 04,404,357,47
Queens Community District 5,QN 05,405,671,25
Queens Community District 6,QN 06,406,842,20
Queens Community District 7,QN 07,407,898,17
Queens Community District 8,QN 08,408,2855,1
Queens Community District 9,QN 09,409,400,42
Queens Community District 10,QN 10,410,291,53
Queens Community District 11,QN 11,411,445,39
Queens Community District 12,QN 12,412,435,40
Queens Community District 13,QN 13,413,421,41
Queens Community District 14,QN 14,414,310,52
Staten Island Community District 1,SI 01,501,598,31
Staten Island Community District 2,SI 02,502,458,38
Staten Island Community District 3,SI 03,503,615,28
