Community District Number,CD Code,BoroCD,Shares of Respodonts with Positive Rate,Ranking
Bronx Community District 1,BX 01,201,29.3,59
Bronx Community District 2,BX 02,202,34.7,56
Bronx Community District 3,BX 03,203,32.9,58
Bronx Community District 4,BX 04,204,47.2,39
Bronx Community District 5,BX 05,205,35,55
Bronx Community District 6,BX 06,206,37.9,50
Bronx Community District 7,BX 07,207,38.1,49
Bronx Community District 8,BX 08,208,62.5,10
Bronx Community District 9,BX 09,209,41.9,48
Bronx Community District 10,BX 10,210,52.5,29
Bronx Community District 11,BX 11,211,46.1,41
Bronx Community District 12,BX 12,212,42.2,46
Brooklyn Community District 1,BK 01,301,53.6,27
Brooklyn Community District 2,BK 02,302,69.9,8
Brooklyn Community District 3,BK 03,303,42.1,47
Brooklyn Community District 4,BK 04,304,42.4,45
Brooklyn Community District 5,BK 05,305,35.5,53
Brooklyn Community District 6,BK 06,306,69.4,9
Brooklyn Community District 7,BK 07,307,58.5,16
Brooklyn Community District 8,BK 08,308,49.9,35
Brooklyn Community District 9,BK 09,309,45.7,42
Brooklyn Community District 10,BK 10,310,56.1,21
Brooklyn Community District 11,BK 11,311,45.7,42
Brooklyn Community District 12,BK 12,312,56.5,20
Brooklyn Community District 13,BK 13,313,52.9,28
Brooklyn Community District 14,BK 14,314,55.7,23
Brooklyn Community District 15,BK 15,315,35.5,53
Brooklyn Community District 16,BK 16,316,37.5,51
Brooklyn Community District 17,BK 17,317,36.8,52
Brooklyn Community District 18,BK 18,318,42.7,44
Manhattan Community District 1,MN 01,101,72.2,6
Manhattan Community District 2,MN 02,102,72.5,5
Manhattan Community District 3,MN 03,103,62.2,11
Manhattan Community District 4,MN 04,104,70,7
Manhattan Community District 5,MN 05,105,77.1,2
Manhattan Community District 6,MN 06,106,74.9,4
Manhattan Community District 7,MN 07,107,76.1,3
Manhattan Community District 8,MN 08,108,77.8,1
Manhattan Community District 9,MN 09,109,56.9,18
Manhattan Community District 10,MN 10,110,50.7,33
Manhattan Community District 11,MN 11,111,50.5,34
Manhattan Community District 12,MN 12,112,56.7,19
Queens Community District 1,QN 01,401,57.2,17
Queens Community District 2,QN 02,402,55.6,24
Queens Community District 3,QN 03,403,54.5,26
Queens Community District 4,QN 04,404,51.8,31
Queens Community District 5,QN 05,405,49.8,36
Queens Community District 6,QN 06,406,61.2,13
Queens Community District 7,QN 07,407,61.7,12
Queens Community District 8,QN 08,408,60.5,14
Queens Community District 9,QN 09,409,47.1,40
Queens Community District 10,QN 10,410,48,38
Queens Community District 11,QN 11,411,60.1,15
Queens Community District 12,QN 12,412,33.9,57
Queens Community District 13,QN 13,413,49.2,37
Queens Community District 14,QN 14,414,51.8,31
Staten Island Community District 1,SI 01,501,52.4,30
Staten Island Community District 2,SI 02,502,55.2,25
Staten Island Community District 3,SI 03,503,56,22
