Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,791,30
Bronx Community District 2,BX 02,202,274,56
Bronx Community District 3,BX 03,203,610,41
Bronx Community District 4,BX 04,204,848,26
Bronx Community District 5,BX 05,205,656,37
Bronx Community District 6,BX 06,206,830,27
Bronx Community District 7,BX 07,207,681,36
Bronx Community District 8,BX 08,208,441,50
Bronx Community District 9,BX 09,209,702,35
Bronx Community District 10,BX 10,210,522,44
Bronx Community District 11,BX 11,211,471,49
Bronx Community District 12,BX 12,212,649,39
Brooklyn Community District 1,BK 01,301,5287,1
Brooklyn Community District 2,BK 02,302,1377,16
Brooklyn Community District 3,BK 03,303,1978,9
Brooklyn Community District 4,BK 04,304,3505,4
Brooklyn Community District 5,BK 05,305,1078,22
Brooklyn Community District 6,BK 06,306,801,29
Brooklyn Community District 7,BK 07,307,971,24
Brooklyn Community District 8,BK 08,308,1020,23
Brooklyn Community District 9,BK 09,309,1519,13
Brooklyn Community District 10,BK 10,310,524,43
Brooklyn Community District 11,BK 11,311,507,46
Brooklyn Community District 12,BK 12,312,380,53
Brooklyn Community District 13,BK 13,313,161,58
Brooklyn Community District 14,BK 14,314,779,31
Brooklyn Community District 15,BK 15,315,813,28
Brooklyn Community District 16,BK 16,316,305,55
Brooklyn Community District 17,BK 17,317,1182,18
Brooklyn Community District 18,BK 18,318,507,46
Manhattan Community District 1,MN 01,101,1496,14
Manhattan Community District 2,MN 02,102,2793,5
Manhattan Community District 3,MN 03,103,4778,2
Manhattan Community District 4,MN 04,104,1794,10
Manhattan Community District 5,MN 05,105,2112,7
Manhattan Community District 6,MN 06,106,652,38
Manhattan Community District 7,MN 07,107,1084,21
Manhattan Community District 8,MN 08,108,1128,19
Manhattan Community District 9,MN 09,109,1521,12
Manhattan Community District 10,MN 10,110,2004,8
Manhattan Community District 11,MN 11,111,511,45
Manhattan Community District 12,MN 12,112,2683,6
Queens Community District 1,QN 01,401,3643,3
Queens Community District 2,QN 02,402,1469,15
Queens Community District 3,QN 03,403,1128,19
Queens Community District 4,QN 04,404,1663,11
Queens Community District 5,QN 05,405,1251,17
Queens Community District 6,QN 06,406,629,40
Queens Community District 7,QN 07,407,875,25
Queens Community District 8,QN 08,408,96,59
Queens Community District 9,QN 09,409,574,42
Queens Community District 10,QN 10,410,721,34
Queens Community District 11,QN 11,411,504,48
Queens Community District 12,QN 12,412,725,32
Queens Community District 13,QN 13,413,435,51
Queens Community District 14,QN 14,414,336,54
Staten Island Community District 1,SI 01,501,722,33
Staten Island Community District 2,SI 02,502,243,57
Staten Island Community District 3,SI 03,503,414,52
