Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,67,34
Bronx Community District 2,BX 02,202,29,52
Bronx Community District 3,BX 03,203,75,32
Bronx Community District 4,BX 04,204,77,31
Bronx Community District 5,BX 05,205,30,51
Bronx Community District 6,BX 06,206,65,36
Bronx Community District 7,BX 07,207,170,9
Bronx Community District 8,BX 08,208,125,20
Bronx Community District 9,BX 09,209,118,21
Bronx Community District 10,BX 10,210,19,56
Bronx Community District 11,BX 11,211,81,30
Bronx Community District 12,BX 12,212,31,50
Brooklyn Community District 1,BK 01,301,181,6
Brooklyn Community District 2,BK 02,302,101,25
Brooklyn Community District 3,BK 03,303,172,8
Brooklyn Community District 4,BK 04,304,135,17
Brooklyn Community District 5,BK 05,305,67,34
Brooklyn Community District 6,BK 06,306,43,45
Brooklyn Community District 7,BK 07,307,161,10
Brooklyn Community District 8,BK 08,308,50,43
Brooklyn Community District 9,BK 09,309,27,53
Brooklyn Community District 10,BK 10,310,143,15
Brooklyn Community District 11,BK 11,311,35,48
Brooklyn Community District 12,BK 12,312,69,33
Brooklyn Community District 13,BK 13,313,44,44
Brooklyn Community District 14,BK 14,314,53,40
Brooklyn Community District 15,BK 15,315,52,42
Brooklyn Community District 16,BK 16,316,84,28
Brooklyn Community District 17,BK 17,317,5,59
Brooklyn Community District 18,BK 18,318,65,36
Manhattan Community District 1,MN 01,101,42,46
Manhattan Community District 2,MN 02,102,155,11
Manhattan Community District 3,MN 03,103,215,4
Manhattan Community District 4,MN 04,104,23,55
Manhattan Community District 5,MN 05,105,231,3
Manhattan Community District 6,MN 06,106,34,49
Manhattan Community District 7,MN 07,107,155,11
Manhattan Community District 8,MN 08,108,37,47
Manhattan Community District 9,MN 09,109,145,14
Manhattan Community District 10,MN 10,110,179,7
Manhattan Community District 11,MN 11,111,139,16
Manhattan Community District 12,MN 12,112,243,2
Queens Community District 1,QN 01,401,154,13
Queens Community District 2,QN 02,402,104,24
Queens Community District 3,QN 03,403,189,5
Queens Community District 4,QN 04,404,54,39
Queens Community District 5,QN 05,405,83,29
Queens Community District 6,QN 06,406,129,19
Queens Community District 7,QN 07,407,300,1
Queens Community District 8,QN 08,408,112,23
Queens Community District 9,QN 09,409,12,58
Queens Community District 10,QN 10,410,135,17
Queens Community District 11,QN 11,411,53,40
Queens Community District 12,QN 12,412,115,22
Queens Community District 13,QN 13,413,87,27
Queens Community District 14,QN 14,414,100,26
Staten Island Community District 1,SI 01,501,60,38
Staten Island Community District 2,SI 02,502,27,53
Staten Island Community District 3,SI 03,503,15,57
