Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,2330,23
Bronx Community District 2,BX 02,202,1649,33
Bronx Community District 3,BX 03,203,3256,13
Bronx Community District 4,BX 04,204,9300,2
Bronx Community District 5,BX 05,205,8606,3
Bronx Community District 6,BX 06,206,2846,17
Bronx Community District 7,BX 07,207,5795,6
Bronx Community District 8,BX 08,208,3222,14
Bronx Community District 9,BX 09,209,4641,8
Bronx Community District 10,BX 10,210,1023,44
Bronx Community District 11,BX 11,211,1365,37
Bronx Community District 12,BX 12,212,1706,31
Brooklyn Community District 1,BK 01,301,3998,10
Brooklyn Community District 2,BK 02,302,2389,20
Brooklyn Community District 3,BK 03,303,3863,11
Brooklyn Community District 4,BK 04,304,3261,12
Brooklyn Community District 5,BK 05,305,3208,15
Brooklyn Community District 6,BK 06,306,1207,41
Brooklyn Community District 7,BK 07,307,1395,35
Brooklyn Community District 8,BK 08,308,2255,24
Brooklyn Community District 9,BK 09,309,2531,19
Brooklyn Community District 10,BK 10,310,612,53
Brooklyn Community District 11,BK 11,311,631,52
Brooklyn Community District 12,BK 12,312,1257,39
Brooklyn Community District 13,BK 13,313,847,46
Brooklyn Community District 14,BK 14,314,2049,26
Brooklyn Community District 15,BK 15,315,756,48
Brooklyn Community District 16,BK 16,316,1246,40
Brooklyn Community District 17,BK 17,317,1536,34
Brooklyn Community District 18,BK 18,318,713,50
Manhattan Community District 1,MN 01,101,564,54
Manhattan Community District 2,MN 02,102,2769,18
Manhattan Community District 3,MN 03,103,5196,7
Manhattan Community District 4,MN 04,104,1796,29
Manhattan Community District 5,MN 05,105,1844,27
Manhattan Community District 6,MN 06,106,839,47
Manhattan Community District 7,MN 07,107,3162,16
Manhattan Community District 8,MN 08,108,2102,25
Manhattan Community District 9,MN 09,109,6059,5
Manhattan Community District 10,MN 10,110,6453,4
Manhattan Community District 11,MN 11,111,4531,9
Manhattan Community District 12,MN 12,112,17155,1
Queens Community District 1,QN 01,401,2386,21
Queens Community District 2,QN 02,402,1386,36
Queens Community District 3,QN 03,403,1732,30
Queens Community District 4,QN 04,404,2357,22
Queens Community District 5,QN 05,405,1328,38
Queens Community District 6,QN 06,406,373,57
Queens Community District 7,QN 07,407,1803,28
Queens Community District 8,QN 08,408,479,55
Queens Community District 9,QN 09,409,1149,42
Queens Community District 10,QN 10,410,1092,43
Queens Community District 11,QN 11,411,230,59
Queens Community District 12,QN 12,412,1654,32
Queens Community District 13,QN 13,413,673,51
Queens Community District 14,QN 14,414,1012,45
Staten Island Community District 1,SI 01,501,755,49
Staten Island Community District 2,SI 02,502,346,58
Staten Island Community District 3,SI 03,503,392,56
