Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,519,48
Bronx Community District 2,BX 02,202,144,59
Bronx Community District 3,BX 03,203,426,51
Bronx Community District 4,BX 04,204,637,41
Bronx Community District 5,BX 05,205,417,54
Bronx Community District 6,BX 06,206,377,57
Bronx Community District 7,BX 07,207,1006,13
Bronx Community District 8,BX 08,208,810,29
Bronx Community District 9,BX 09,209,538,46
Bronx Community District 10,BX 10,210,618,44
Bronx Community District 11,BX 11,211,579,45
Bronx Community District 12,BX 12,212,961,16
Brooklyn Community District 1,BK 01,301,1905,2
Brooklyn Community District 2,BK 02,302,932,19
Brooklyn Community District 3,BK 03,303,1488,4
Brooklyn Community District 4,BK 04,304,1097,9
Brooklyn Community District 5,BK 05,305,1134,8
Brooklyn Community District 6,BK 06,306,832,27
Brooklyn Community District 7,BK 07,307,1002,14
Brooklyn Community District 8,BK 08,308,705,38
Brooklyn Community District 9,BK 09,309,681,40
Brooklyn Community District 10,BK 10,310,626,43
Brooklyn Community District 11,BK 11,311,711,37
Brooklyn Community District 12,BK 12,312,898,21
Brooklyn Community District 13,BK 13,313,462,49
Brooklyn Community District 14,BK 14,314,939,18
Brooklyn Community District 15,BK 15,315,1071,10
Brooklyn Community District 16,BK 16,316,421,53
Brooklyn Community District 17,BK 17,317,764,32
Brooklyn Community District 18,BK 18,318,724,36
Manhattan Community District 1,MN 01,101,368,58
Manhattan Community District 2,MN 02,102,959,17
Manhattan Community District 3,MN 03,103,879,23
Manhattan Community District 4,MN 04,104,1261,7
Manhattan Community District 5,MN 05,105,759,33
Manhattan Community District 6,MN 06,106,697,39
Manhattan Community District 7,MN 07,107,1058,11
Manhattan Community District 8,MN 08,108,795,30
Manhattan Community District 9,MN 09,109,629,42
Manhattan Community District 10,MN 10,110,1387,6
Manhattan Community District 11,MN 11,111,873,25
Manhattan Community District 12,MN 12,112,768,31
Queens Community District 1,QN 01,401,1438,5
Queens Community District 2,QN 02,402,759,33
Queens Community District 3,QN 03,403,730,35
Queens Community District 4,QN 04,404,422,52
Queens Community District 5,QN 05,405,1030,12
Queens Community District 6,QN 06,406,534,47
Queens Community District 7,QN 07,407,881,22
Queens Community District 8,QN 08,408,449,50
Queens Community District 9,QN 09,409,876,24
Queens Community District 10,QN 10,410,827,28
Queens Community District 11,QN 11,411,389,56
Queens Community District 12,QN 12,412,1548,3
Queens Community District 13,QN 13,413,852,26
Queens Community District 14,QN 14,414,399,55
Staten Island Community District 1,SI 01,501,909,20
Staten Island Community District 2,SI 02,502,975,15
Staten Island Community District 3,SI 03,503,2156,1
