Community District Number,CD Code,BoroCD,"Percent of total garbage collected",Ranking
Bronx Community District 1,BX 01,201,7.9,59
Bronx Community District 2,BX 02,202,14.2,49
Bronx Community District 3,BX 03,203,11.1,56
Bronx Community District 4,BX 04,204,13.9,52
Bronx Community District 5,BX 05,205,14.1,50
Bronx Community District 6,BX 06,206,15.2,41
Bronx Community District 7,BX 07,207,18.1,27
Bronx Community District 8,BX 08,208,20.6,15
Bronx Community District 9,BX 09,209,11.9,54
Bronx Community District 10,BX 10,210,19,20
Bronx Community District 11,BX 11,211,15.6,38
Bronx Community District 12,BX 12,212,17.5,31
Brooklyn Community District 1,BK 01,301,17,32
Brooklyn Community District 2,BK 02,302,19.3,19
Brooklyn Community District 3,BK 03,303,14.4,47
Brooklyn Community District 4,BK 04,304,17,32
Brooklyn Community District 5,BK 05,305,11.5,55
Brooklyn Community District 6,BK 06,306,25.7,5
Brooklyn Community District 7,BK 07,307,18.8,21
Brooklyn Community District 8,BK 08,308,18.6,23
Brooklyn Community District 9,BK 09,309,14.8,43
Brooklyn Community District 10,BK 10,310,21.1,12
Brooklyn Community District 11,BK 11,311,18.1,27
Brooklyn Community District 12,BK 12,312,14.4,47
Brooklyn Community District 13,BK 13,313,14,51
Brooklyn Community District 14,BK 14,314,15.5,40
Brooklyn Community District 15,BK 15,315,17.7,30
Brooklyn Community District 16,BK 16,316,9.6,58
Brooklyn Community District 17,BK 17,317,14.6,45
Brooklyn Community District 18,BK 18,318,15.6,38
Manhattan Community District 1,MN 01,101,27.5,1
Manhattan Community District 2,MN 02,102,26.8,3
Manhattan Community District 3,MN 03,103,14.5,46
Manhattan Community District 4,MN 04,104,23.4,8
Manhattan Community District 5,MN 05,105,24,6
Manhattan Community District 6,MN 06,106,23.6,7
Manhattan Community District 7,MN 07,107,27.2,2
Manhattan Community District 8,MN 08,108,26.8,3
Manhattan Community District 9,MN 09,109,16.6,34
Manhattan Community District 10,MN 10,110,14.7,44
Manhattan Community District 11,MN 11,111,10.9,57
Manhattan Community District 12,MN 12,112,16.5,35
Queens Community District 1,QN 01,401,20.8,14
Queens Community District 2,QN 02,402,21,13
Queens Community District 3,QN 03,403,15.7,37
Queens Community District 4,QN 04,404,17.8,29
Queens Community District 5,QN 05,405,21.7,9
Queens Community District 6,QN 06,406,21.5,11
Queens Community District 7,QN 07,407,18.6,23
Queens Community District 8,QN 08,408,16,36
Queens Community District 9,QN 09,409,19.6,18
Queens Community District 10,QN 10,410,18.8,21
Queens Community District 11,QN 11,411,21.6,10
Queens Community District 12,QN 12,412,15.2,41
Queens Community District 13,QN 13,413,18.5,25
Queens Community District 14,QN 14,414,12.7,53
Staten Island Community District 1,SI 01,501,18.4,26
Staten Island Community District 2,SI 02,502,19.7,17
Staten Island Community District 3,SI 03,503,19.9,16
