Community District Number,CD Code,BoroCD,Percent of total garbage collected,Ranking
Bronx Community District 1,BX 01,201,7.2,59
Bronx Community District 2,BX 02,202,13.5,51
Bronx Community District 3,BX 03,203,9.5,57
Bronx Community District 4,BX 04,204,13.6,50
Bronx Community District 5,BX 05,205,13.3,52
Bronx Community District 6,BX 06,206,15.3,35
Bronx Community District 7,BX 07,207,16.9,30
Bronx Community District 8,BX 08,208,20.3,13
Bronx Community District 9,BX 09,209,11.2,54
Bronx Community District 10,BX 10,210,17.6,24
Bronx Community District 11,BX 11,211,15,37
Bronx Community District 12,BX 12,212,16.7,31
Brooklyn Community District 1,BK 01,301,15.7,34
Brooklyn Community District 2,BK 02,302,19.5,16
Brooklyn Community District 3,BK 03,303,13.7,48
Brooklyn Community District 4,BK 04,304,15.3,35
Brooklyn Community District 5,BK 05,305,10.8,55
Brooklyn Community District 6,BK 06,306,26.9,1
Brooklyn Community District 7,BK 07,307,18.3,20
Brooklyn Community District 8,BK 08,308,18.2,21
Brooklyn Community District 9,BK 09,309,14,47
Brooklyn Community District 10,BK 10,310,20,14
Brooklyn Community District 11,BK 11,311,17.6,24
Brooklyn Community District 12,BK 12,312,14.1,46
Brooklyn Community District 13,BK 13,313,14.3,44
Brooklyn Community District 14,BK 14,314,14.6,42
Brooklyn Community District 15,BK 15,315,17.1,29
Brooklyn Community District 16,BK 16,316,8.8,58
Brooklyn Community District 17,BK 17,317,13.7,48
Brooklyn Community District 18,BK 18,318,15,37
Manhattan Community District 1,MN 01,101,26.6,3
Manhattan Community District 2,MN 02,102,25.8,4
Manhattan Community District 3,MN 03,103,14.9,40
Manhattan Community District 4,MN 04,104,22.2,8
Manhattan Community District 5,MN 05,105,22.3,7
Manhattan Community District 6,MN 06,106,22.6,6
Manhattan Community District 7,MN 07,107,26.8,2
Manhattan Community District 8,MN 08,108,25.6,5
Manhattan Community District 9,MN 09,109,16.6,32
Manhattan Community District 10,MN 10,110,14.3,44
Manhattan Community District 11,MN 11,111,10.5,56
Manhattan Community District 12,MN 12,112,15.8,33
Queens Community District 1,QN 01,401,19.9,15
Queens Community District 2,QN 02,402,21.9,9
Queens Community District 3,QN 03,403,14.7,41
Queens Community District 4,QN 04,404,17.4,27
Queens Community District 5,QN 05,405,20.9,11
Queens Community District 6,QN 06,406,20.8,12
Queens Community District 7,QN 07,407,18,22
Queens Community District 8,QN 08,408,15,37
Queens Community District 9,QN 09,409,19.4,17
Queens Community District 10,QN 10,410,17.5,26
Queens Community District 11,QN 11,411,21.7,10
Queens Community District 12,QN 12,412,14.5,43
Queens Community District 13,QN 13,413,17.7,23
Queens Community District 14,QN 14,414,11.7,53
Staten Island Community District 1,SI 01,501,17.3,28
Staten Island Community District 2,SI 02,502,18.5,19
Staten Island Community District 3,SI 03,503,19.3,18
