Community District Number,CD Code,BoroCD,Shares of Respodonts with Positive Rate,Ranking
Bronx Community District 1,BX 01,201,30.7,59
Bronx Community District 2,BX 02,202,42.7,53
Bronx Community District 3,BX 03,203,37,56
Bronx Community District 4,BX 04,204,33.3,58
Bronx Community District 5,BX 05,205,47.5,47
Bronx Community District 6,BX 06,206,35.2,57
Bronx Community District 7,BX 07,207,44.5,51
Bronx Community District 8,BX 08,208,67.2,12
Bronx Community District 9,BX 09,209,47.3,48
Bronx Community District 10,BX 10,210,66.4,13
Bronx Community District 11,BX 11,211,59.8,27
Bronx Community District 12,BX 12,212,63.7,17
Brooklyn Community District 1,BK 01,301,58.6,32
Brooklyn Community District 2,BK 02,302,68.3,11
Brooklyn Community District 3,BK 03,303,56.1,34
Brooklyn Community District 4,BK 04,304,48.7,44
Brooklyn Community District 5,BK 05,305,53.1,41
Brooklyn Community District 6,BK 06,306,63,19
Brooklyn Community District 7,BK 07,307,59.8,27
Brooklyn Community District 8,BK 08,308,48.1,46
Brooklyn Community District 9,BK 09,309,59.5,30
Brooklyn Community District 10,BK 10,310,73.8,4
Brooklyn Community District 11,BK 11,311,55.6,35
Brooklyn Community District 12,BK 12,312,45.1,50
Brooklyn Community District 13,BK 13,313,57,33
Brooklyn Community District 14,BK 14,314,63.2,18
Brooklyn Community District 15,BK 15,315,61.1,23
Brooklyn Community District 16,BK 16,316,37.1,55
Brooklyn Community District 17,BK 17,317,55.2,36
Brooklyn Community District 18,BK 18,318,73.2,7
Manhattan Community District 1,MN 01,101,65.4,16
Manhattan Community District 2,MN 02,102,59,31
Manhattan Community District 3,MN 03,103,48.6,45
Manhattan Community District 4,MN 04,104,53.7,39
Manhattan Community District 5,MN 05,105,45.3,49
Manhattan Community District 6,MN 06,106,62.6,20
Manhattan Community District 7,MN 07,107,61.1,23
Manhattan Community District 8,MN 08,108,60.8,26
Manhattan Community District 9,MN 09,109,51.4,42
Manhattan Community District 10,MN 10,110,43.1,52
Manhattan Community District 11,MN 11,111,37.3,54
Manhattan Community District 12,MN 12,112,53.3,40
Queens Community District 1,QN 01,401,59.8,27
Queens Community District 2,QN 02,402,66.4,13
Queens Community District 3,QN 03,403,62.4,21
Queens Community District 4,QN 04,404,53.8,38
Queens Community District 5,QN 05,405,70.2,8
Queens Community District 6,QN 06,406,73.4,6
Queens Community District 7,QN 07,407,65.7,15
Queens Community District 8,QN 08,408,79.7,2
Queens Community District 9,QN 09,409,61,25
Queens Community District 10,QN 10,410,73.7,5
Queens Community District 11,QN 11,411,78.1,3
Queens Community District 12,QN 12,412,50.4,43
Queens Community District 13,QN 13,413,81.7,1
Queens Community District 14,QN 14,414,54.6,37
Staten Island Community District 1,SI 01,501,69.8,9
Staten Island Community District 2,SI 02,502,61.9,22
Staten Island Community District 3,SI 03,503,69.6,10
