Community District Number,CD Code,BoroCD,Shares of Respodonts with Positive Rate,Ranking
Bronx Community District 1,BX 01,201,16.8,59
Bronx Community District 2,BX 02,202,28.9,51
Bronx Community District 3,BX 03,203,26.5,55
Bronx Community District 4,BX 04,204,32.8,44
Bronx Community District 5,BX 05,205,22.7,57
Bronx Community District 6,BX 06,206,29.6,50
Bronx Community District 7,BX 07,207,28.8,52
Bronx Community District 8,BX 08,208,69.9,6
Bronx Community District 9,BX 09,209,51.4,23
Bronx Community District 10,BX 10,210,71.6,4
Bronx Community District 11,BX 11,211,56.9,21
Bronx Community District 12,BX 12,212,43.2,32
Brooklyn Community District 1,BK 01,301,30.4,49
Brooklyn Community District 2,BK 02,302,65.9,12
Brooklyn Community District 3,BK 03,303,30.5,48
Brooklyn Community District 4,BK 04,304,26.6,54
Brooklyn Community District 5,BK 05,305,36.6,42
Brooklyn Community District 6,BK 06,306,65.2,13
Brooklyn Community District 7,BK 07,307,50.1,24
Brooklyn Community District 8,BK 08,308,37.5,40
Brooklyn Community District 9,BK 09,309,33,43
Brooklyn Community District 10,BK 10,310,64,16
Brooklyn Community District 11,BK 11,311,47.6,28
Brooklyn Community District 12,BK 12,312,36.7,41
Brooklyn Community District 13,BK 13,313,41.3,35
Brooklyn Community District 14,BK 14,314,40.2,36
Brooklyn Community District 15,BK 15,315,43.8,31
Brooklyn Community District 16,BK 16,316,21.7,58
Brooklyn Community District 17,BK 17,317,32,46
Brooklyn Community District 18,BK 18,318,58.7,20
Manhattan Community District 1,MN 01,101,64.7,14
Manhattan Community District 2,MN 02,102,56.3,22
Manhattan Community District 3,MN 03,103,32.4,45
Manhattan Community District 4,MN 04,104,50,25
Manhattan Community District 5,MN 05,105,46.8,30
Manhattan Community District 6,MN 06,106,69.4,7
Manhattan Community District 7,MN 07,107,69.3,8
Manhattan Community District 8,MN 08,108,71.9,3
Manhattan Community District 9,MN 09,109,38,39
Manhattan Community District 10,MN 10,110,27.2,53
Manhattan Community District 11,MN 11,111,25.4,56
Manhattan Community District 12,MN 12,112,31.4,47
Queens Community District 1,QN 01,401,47.5,29
Queens Community District 2,QN 02,402,49.4,26
Queens Community District 3,QN 03,403,41.7,34
Queens Community District 4,QN 04,404,39.5,37
Queens Community District 5,QN 05,405,59.5,18
Queens Community District 6,QN 06,406,66.3,11
Queens Community District 7,QN 07,407,67.3,10
Queens Community District 8,QN 08,408,64.4,15
Queens Community District 9,QN 09,409,42.8,33
Queens Community District 10,QN 10,410,59.5,18
Queens Community District 11,QN 11,411,81.3,1
Queens Community District 12,QN 12,412,38.6,38
Queens Community District 13,QN 13,413,70,5
Queens Community District 14,QN 14,414,48.5,27
Staten Island Community District 1,SI 01,501,60.2,17
Staten Island Community District 2,SI 02,502,68.3,9
Staten Island Community District 3,SI 03,503,78.1,2
