Community District Number,CD Code,BoroCD,Shares of Respodonts with Positive Rate,Ranking
Bronx Community District 1,BX 01,201,21,56
Bronx Community District 2,BX 02,202,24.1,53
Bronx Community District 3,BX 03,203,13.3,59
Bronx Community District 4,BX 04,204,23.6,54
Bronx Community District 5,BX 05,205,20.2,58
Bronx Community District 6,BX 06,206,23.1,55
Bronx Community District 7,BX 07,207,27.8,51
Bronx Community District 8,BX 08,208,53.1,21
Bronx Community District 9,BX 09,209,41.3,36
Bronx Community District 10,BX 10,210,70.8,2
Bronx Community District 11,BX 11,211,37.7,38
Bronx Community District 12,BX 12,212,28.2,49
Brooklyn Community District 1,BK 01,301,42.8,34
Brooklyn Community District 2,BK 02,302,50,28
Brooklyn Community District 3,BK 03,303,31.8,45
Brooklyn Community District 4,BK 04,304,20.3,57
Brooklyn Community District 5,BK 05,305,29.1,48
Brooklyn Community District 6,BK 06,306,57.7,13
Brooklyn Community District 7,BK 07,307,53.8,20
Brooklyn Community District 8,BK 08,308,40.1,37
Brooklyn Community District 9,BK 09,309,33.7,44
Brooklyn Community District 10,BK 10,310,70.6,3
Brooklyn Community District 11,BK 11,311,59.6,11
Brooklyn Community District 12,BK 12,312,50.7,27
Brooklyn Community District 13,BK 13,313,43.5,33
Brooklyn Community District 14,BK 14,314,47.1,31
Brooklyn Community District 15,BK 15,315,55.6,18
Brooklyn Community District 16,BK 16,316,34,42
Brooklyn Community District 17,BK 17,317,27.9,50
Brooklyn Community District 18,BK 18,318,52.2,22
Manhattan Community District 1,MN 01,101,52.2,22
Manhattan Community District 2,MN 02,102,56.8,15
Manhattan Community District 3,MN 03,103,26.6,52
Manhattan Community District 4,MN 04,104,51.4,26
Manhattan Community District 5,MN 05,105,56,16
Manhattan Community District 6,MN 06,106,62.4,8
Manhattan Community District 7,MN 07,107,55,19
Manhattan Community District 8,MN 08,108,48.8,29
Manhattan Community District 9,MN 09,109,34.2,41
Manhattan Community District 10,MN 10,110,34,42
Manhattan Community District 11,MN 11,111,34.9,39
Manhattan Community District 12,MN 12,112,34.3,40
Queens Community District 1,QN 01,401,62.2,9
Queens Community District 2,QN 02,402,59.6,11
Queens Community District 3,QN 03,403,47.8,30
Queens Community District 4,QN 04,404,30.6,47
Queens Community District 5,QN 05,405,44.9,32
Queens Community District 6,QN 06,406,63.5,7
Queens Community District 7,QN 07,407,57.7,13
Queens Community District 8,QN 08,408,61.8,10
Queens Community District 9,QN 09,409,42.7,35
Queens Community District 10,QN 10,410,52,24
Queens Community District 11,QN 11,411,77.1,1
Queens Community District 12,QN 12,412,30.7,46
Queens Community District 13,QN 13,413,63.7,6
Queens Community District 14,QN 14,414,56,16
Staten Island Community District 1,SI 01,501,51.5,25
Staten Island Community District 2,SI 02,502,66.3,5
Staten Island Community District 3,SI 03,503,67.9,4
