Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,2407,17
Bronx Community District 2,BX 02,202,1842,26
Bronx Community District 3,BX 03,203,2948,13
Bronx Community District 4,BX 04,204,6433,1
Bronx Community District 5,BX 05,205,4638,5
Bronx Community District 6,BX 06,206,3813,8
Bronx Community District 7,BX 07,207,4924,4
Bronx Community District 8,BX 08,208,1922,25
Bronx Community District 9,BX 09,209,3012,11
Bronx Community District 10,BX 10,210,959,44
Bronx Community District 11,BX 11,211,2135,19
Bronx Community District 12,BX 12,212,3436,10
Brooklyn Community District 1,BK 01,301,1687,29
Brooklyn Community District 2,BK 02,302,915,47
Brooklyn Community District 3,BK 03,303,2954,12
Brooklyn Community District 4,BK 04,304,2227,18
Brooklyn Community District 5,BK 05,305,3993,6
Brooklyn Community District 6,BK 06,306,654,54
Brooklyn Community District 7,BK 07,307,979,42
Brooklyn Community District 8,BK 08,308,2634,15
Brooklyn Community District 9,BK 09,309,2471,16
Brooklyn Community District 10,BK 10,310,918,46
Brooklyn Community District 11,BK 11,311,1221,36
Brooklyn Community District 12,BK 12,312,1367,34
Brooklyn Community District 13,BK 13,313,949,45
Brooklyn Community District 14,BK 14,314,3802,9
Brooklyn Community District 15,BK 15,315,971,43
Brooklyn Community District 16,BK 16,316,1947,23
Brooklyn Community District 17,BK 17,317,3920,7
Brooklyn Community District 18,BK 18,318,1064,40
Manhattan Community District 1,MN 01,101,147,59
Manhattan Community District 2,MN 02,102,660,52
Manhattan Community District 3,MN 03,103,1543,31
Manhattan Community District 4,MN 04,104,1374,33
Manhattan Community District 5,MN 05,105,437,57
Manhattan Community District 6,MN 06,106,828,49
Manhattan Community District 7,MN 07,107,1931,24
Manhattan Community District 8,MN 08,108,1649,30
Manhattan Community District 9,MN 09,109,2657,14
Manhattan Community District 10,MN 10,110,4979,3
Manhattan Community District 11,MN 11,111,2097,20
Manhattan Community District 12,MN 12,112,4991,2
Queens Community District 1,QN 01,401,1720,27
Queens Community District 2,QN 02,402,857,48
Queens Community District 3,QN 03,403,1158,37
Queens Community District 4,QN 04,404,1324,35
Queens Community District 5,QN 05,405,1382,32
Queens Community District 6,QN 06,406,694,50
Queens Community District 7,QN 07,407,1128,39
Queens Community District 8,QN 08,408,1016,41
Queens Community District 9,QN 09,409,1137,38
Queens Community District 10,QN 10,410,671,51
Queens Community District 11,QN 11,411,307,58
Queens Community District 12,QN 12,412,2015,22
Queens Community District 13,QN 13,413,656,53
Queens Community District 14,QN 14,414,1688,28
Staten Island Community District 1,SI 01,501,2074,21
Staten Island Community District 2,SI 02,502,555,56
Staten Island Community District 3,SI 03,503,603,55
